"year","co2"
1958,"315.232"
1959,"315.98083333333335"
1960,"316.91"
1961,"317.64416666666665"
1962,"318.45416666666665"
1963,"318.9925"
1964,"319.6166666666667"
1965,"320.0358333333333"
1966,"321.3691666666667"
1967,"322.18083333333334"
1968,"323.05"
1969,"324.62333333333333"
1970,"325.6816666666667"
1971,"326.31916666666666"
1972,"327.45666666666665"
1973,"329.6775"
1974,"330.19083333333333"
1975,"331.1275"
1976,"332.0266666666667"
1977,"333.8441666666667"
1978,"335.415"
1979,"336.835"
1980,"338.7625"
1981,"340.1191666666667"
1982,"341.4791666666667"
1983,"343.1525"
1984,"344.86833333333334"
1985,"346.3516666666667"
1986,"347.60833333333335"
1987,"349.31166666666667"
1988,"351.69083333333333"
1989,"353.205"
1990,"354.45250000000004"
1991,"355.70416666666665"
1992,"356.54583333333335"
1993,"357.215"
1994,"358.9591666666667"
1995,"360.9683333333333"
1996,"362.74333333333334"
1997,"363.8766666666666"
1998,"366.84"
1999,"368.53999999999996"
2000,"369.7075"
2001,"371.31916666666666"
2002,"373.45250000000004"
2003,"375.98333333333335"
2004,"377.6983333333333"
2005,"379.9825"
2006,"382.09083333333336"
2007,"384.02500000000003"
2008,"385.83166666666665"
2009,"387.6425"
2010,"390.1016666666667"
2011,"391.85083333333336"
2012,"394.05583333333334"
2013,"396.7375"
2014,"398.8125"
2015,"401.0116666666667"
2016,"404.41249999999997"
2017,"406.7583333333334"
2018,"408.715"
